study_hours_per_day,attendance_percentage,assignments_completed,sleep_hours,previous_score,internet_access,extracurricular_activities,parental_education_level,distance_from_school_km,tutoring,final_score
4.4,71.1,2,4.9,68.5,1,0,3,23.8,1,31.42
9.6,68.8,8,8.3,43.5,0,0,2,17.7,1,61.75
7.6,41.5,4,5.8,37.1,1,0,1,23.5,1,31.31
6.4,60.5,7,7.2,93.8,0,1,1,6.2,1,75.98
2.4,62.8,6,8.2,87.4,0,1,1,2.0,1,48.55
2.4,63.9,7,9.4,83.2,0,1,4,26.3,1,44.04
1.5,74.8,6,8.8,33.4,0,0,3,2.7,1,32.55
8.8,72.0,2,8.1,89.1,1,0,4,7.8,0,73.79
6.4,76.5,1,8.1,60.7,1,0,1,21.0,0,36.98
7.4,85.9,6,9.7,54.0,1,1,3,12.6,0,59.94
1.2,88.8,2,5.8,68.3,1,0,3,26.4,1,38.28
9.7,83.1,2,4.0,36.4,0,0,2,9.3,1,51.66
8.5,97.3,1,5.6,83.0,1,1,4,0.9,1,67.46
2.9,41.1,3,5.3,70.8,1,0,4,9.4,0,30.33
2.6,51.7,7,8.0,43.1,1,1,2,17.6,0,38.64
2.7,40.5,0,7.8,43.2,0,0,4,11.6,0,9.41
3.7,78.8,0,7.6,42.9,1,1,1,16.3,0,24.07
5.7,93.9,4,4.1,34.0,1,1,1,26.4,0,33.47
4.9,54.6,10,8.4,71.1,0,1,4,27.4,1,53.43
3.6,95.6,4,5.9,88.8,0,1,2,8.3,0,48.82
6.5,43.6,10,8.0,31.2,1,1,3,14.1,1,55.13
2.3,96.1,0,7.3,33.4,1,0,4,16.7,1,17.39
3.6,61.1,5,6.1,70.1,0,1,3,28.5,1,40.16
4.3,46.1,0,4.8,87.4,1,1,2,30.0,0,36.08
5.1,69.2,4,4.6,52.9,0,1,3,7.4,0,33.37
8.1,55.4,8,9.0,54.5,1,1,2,21.9,1,58.67
2.8,57.1,4,9.5,71.7,1,0,2,11.7,0,45.31
5.6,58.4,5,7.9,49.2,1,1,1,0.7,0,48.81
6.3,88.2,7,4.6,31.9,1,0,1,0.8,1,46.56
1.4,72.3,10,6.4,81.5,1,1,2,14.1,1,62.19
6.5,58.7,0,8.4,73.8,0,1,4,14.9,1,54.25
2.5,76.6,1,8.7,70.7,0,0,1,1.2,1,37.67
1.6,83.0,8,4.7,81.9,1,0,2,20.8,1,45.21
9.5,56.4,2,4.0,77.3,1,0,3,9.2,0,56.67
9.7,64.8,5,8.3,44.4,1,1,3,17.0,1,63.88
8.3,47.3,4,6.1,54.7,0,0,4,9.4,0,45.31
3.7,50.9,10,5.5,38.8,0,1,3,5.4,0,42.04
1.9,80.9,1,4.1,39.1,0,0,3,12.5,1,9.13
7.2,50.9,6,7.2,77.3,0,0,2,7.4,1,52.02
5.0,71.5,3,9.1,90.1,0,1,3,16.3,0,57.22
2.1,82.5,0,9.7,97.4,0,0,3,6.4,1,46.58
5.5,46.4,3,7.4,74.0,0,0,3,15.5,0,36.96
1.3,74.0,5,7.1,42.9,0,1,3,5.1,1,23.59
9.2,55.4,6,4.5,37.4,1,1,2,20.3,1,50.0
3.3,97.8,6,7.3,86.9,0,1,3,22.7,0,57.57
7.0,69.0,6,6.3,70.5,0,0,4,3.8,0,62.89
3.8,88.4,2,7.6,73.3,0,0,1,14.3,1,42.46
5.7,73.0,5,6.3,84.7,0,0,4,2.6,1,62.72
5.9,42.6,7,5.4,79.2,1,0,1,18.1,1,56.23
2.7,78.0,3,4.6,88.4,0,0,4,8.3,0,38.48
9.7,97.1,7,5.9,33.9,1,1,1,16.1,1,67.36
8.0,76.1,1,4.6,82.3,1,0,1,15.8,1,49.09
9.5,89.2,9,5.1,89.6,1,1,1,27.8,1,81.9
9.1,93.1,8,9.9,50.0,0,0,1,16.7,1,63.06
6.4,53.7,8,6.7,74.8,0,1,2,17.7,0,59.28
9.3,52.7,7,7.2,52.0,0,0,4,12.3,0,56.73
1.8,76.7,9,9.2,97.1,1,0,1,28.5,0,55.71
2.8,64.7,9,10.0,32.3,1,1,4,23.4,1,37.26
1.4,90.4,0,7.5,70.6,1,0,3,8.9,1,36.11
3.9,94.0,1,8.9,41.7,1,1,1,25.4,1,30.74
4.5,61.2,5,6.0,79.9,0,0,4,13.3,0,48.78
3.4,54.2,9,5.8,42.3,0,0,2,24.9,0,22.27
8.5,86.8,4,6.4,46.5,0,1,4,24.8,0,58.22
4.2,56.5,8,8.0,64.6,1,0,1,6.1,0,41.83
3.5,89.4,4,8.1,94.0,1,1,3,21.2,1,60.06
5.9,65.4,1,5.9,44.8,0,0,4,9.1,0,38.36
2.3,80.1,9,4.8,40.1,0,0,3,9.3,0,31.82
8.2,45.7,3,7.8,83.1,1,0,2,9.2,1,55.66
1.7,77.4,8,4.8,65.0,0,0,4,21.9,0,37.7
9.9,67.1,0,7.5,93.8,0,0,4,7.3,1,68.61
8.0,75.2,10,8.2,40.3,1,0,2,0.5,1,64.79
2.8,50.1,0,8.2,75.2,1,0,2,21.6,1,24.39
1.0,84.2,6,8.5,46.3,1,1,2,5.5,1,52.45
8.3,91.8,10,9.2,41.0,0,0,1,3.6,1,67.55
7.4,53.0,2,7.0,77.8,1,0,1,7.5,0,42.88
7.6,45.7,9,8.4,71.6,0,0,4,11.7,0,69.53
7.9,41.4,1,7.7,82.8,0,1,4,14.5,1,57.52
1.7,78.5,8,5.1,51.7,1,1,4,1.8,0,42.4
4.2,76.4,2,4.2,61.4,0,0,3,29.1,1,25.52
2.0,72.8,1,5.7,58.4,1,0,2,21.6,0,24.11
8.8,53.9,7,6.7,98.9,1,0,4,10.0,0,78.78
