MatchID,Date,HomeTeam,AwayTeam,Venue,Tournament,Round,HomeScore,AwayScore,HomeTriesScored,AwayTriesScored,HomePossession%,AwayPossession%,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PlayerName,PlayerTeam,PlayerPosition,PlayerNationality,PlayerAge,PlayerCaps,PlayerTries,PlayerConversions,PlayerPenalties,PlayerYellowCards,PlayerRedCards,TacklesMade,TacklesMissed,MetresCarried,Result
1000,2019-04-08,France XV,New Zealand All Blacks,"Twickenham, London",World Rugby U20 Championship,2,52,5,8,1,41,59,0,0,0,0,Grégoire Caelan,New Zealand All Blacks,Lock,New Zealand,28,104,0,0,0,0,0,13,5,71,Home Win
1001,2016-07-03,Georgia Rugby,Romania Rugby,"Estadio Jose Amalfitani, Buenos Aires",The Rugby Championship,6,33,11,3,1,37,63,1,1,0,0,Faf Itoje,Romania Rugby,Lock,Romania,26,86,2,0,0,0,0,2,2,136,Home Win
1002,2015-06-13,South Africa Springboks,Argentina Pumas,"Aviva Stadium, Dublin",Rugby World Cup,4,44,36,5,3,49,51,0,0,0,0,Faf Kolbe,Argentina Pumas,Tighthead Prop,Argentina,29,66,3,0,0,0,0,3,2,160,Home Win
1003,2023-05-25,New Zealand All Blacks,Ireland Rugby,"ANZ National Stadium, Suva",The Rugby Championship,2,22,51,4,6,63,37,0,2,0,0,Taulupe Lowe,New Zealand All Blacks,Lock,New Zealand,33,,2,0,0,0,0,16,0,153,Away Win
1004,2022-02-25,England Rugby,France XV,"Estadio Jose Amalfitani, Buenos Aires",Rugby Europe Championship,3,20,51,2,7,62,38,0,2,0,0,Richie Curry,England Rugby,Left Wing,New Zealand,26,,2,0,0,0,0,3,3,,Away Win
1005,2016-09-08,South Africa Springboks,Samoa Rugby,"Aviva Stadium, Dublin",World Rugby U20 Championship,8,20,72,3,8,50,50,1,0,0,0,Hugo Furlong,Samoa Rugby,Loosehead Prop,New Zealand,26,87,0,0,0,0,0,3,3,49,Away Win
1006,2015-11-18,Canada Rugby,France XV,"Stadio Olimpico, Rome",Rugby World Cup,2,30,15,3,2,62,38,0,0,0,1,Beauden Faletau,France XV,Inside Centre,Senegal,33,94,3,0,0,0,0,1,8,15,Home Win
1007,2024-02-22,Australia Wallabies,England Rugby,"Stadio Olimpico, Rome",Six Nations,7,14,30,1,3,53,47,0,0,0,0,Tadhg Curry,England Rugby,Tighthead Prop,England,30,86,2,0,0,0,0,2,0,117,Away Win
1008,2019-03-15,Scotland Rugby,Tonga Rugby,"Stadio Olimpico, Rome",Pacific Nations Cup,5,71,0,8,0,65,35,1,0,0,0,Beauden Lowe,Scotland Rugby,Lock,New Zealand,25,92,2,0,0,0,0,8,8,125,Home Win
1009,2022-09-23,Argentina Pumas,Australia Wallabies,"Principality Stadium, Cardiff",Pacific Nations Cup,1,23,11,1,1,53,47,0,0,0,0,Rory Carbery,Argentina Pumas,Lock,Argentina,29,86,0,0,0,0,0,13,2,,Home Win
1010,2017-12-04,Scotland Rugby,Japan Brave Blossoms,"Principality Stadium, Cardiff",Rugby Europe Championship,1,47,27,7,3,61,39,1,0,0,0,William Doris,Japan Brave Blossoms,Lock,Australia,25,45,3,0,0,0,0,10,0,,Home Win
1011,2016-07-19,Italy Rugby,Canada Rugby,"Stade de France, Paris",,1,44,9,6,0,37,63,1,1,0,0,Richie Watson,Italy Rugby,Lock,Argentina,25,86,3,0,0,0,0,17,2,49,Home Win
1012,2021-10-20,Japan Brave Blossoms,Wales Rugby,"ANZ National Stadium, Suva",,8,59,67,7,7,58,42,0,0,0,0,Cian Carbery,Wales Rugby,Lock,Wales,27,29,1,0,0,0,0,15,1,116,Away Win
1013,2018-03-26,France XV,Georgia Rugby,"Apia Park, Samoa",Pacific Nations Cup,8,9,45,0,8,60,40,0,0,0,0,Hamish Watson,Georgia Rugby,Fullback,Georgia,19,21,3,0,3,0,0,20,4,133,Away Win
1014,2021-12-05,Ireland Rugby,Argentina Pumas,"Apia Park, Samoa",Six Nations,2,43,47,6,6,36,64,0,0,0,0,Malcolm Russell,Ireland Rugby,Loosehead Prop,South Africa,20,46,2,0,0,0,0,13,8,139,Away Win
