MovieID,Title,Year,Genre,Director,Cast,Language,Country,Runtime(min),Rating,Votes,Budget(million$),Revenue(million$),Keywords,Overview,Popularity
MV1000,The Shawshank Redemption,2010,Action,Sofia Coppola,Ryan Gosling|Scarlett Johansson|Jeremy Renner,French,Australia,96,7.7,143306,13.8,29.5,love|loss|dystopia|freedom|robot,A action film featuring Ryan Gosling.,63.03
MV1001,The Godfather,2021,Biography,Alfonso Cuaron,Saoirse Ronan|Benedict Cumberbatch|Margot Robbie|Morgan Freeman|Emma Stone,Italian,UK,96,6.9,1515668,255.0,1282.1,alien|mystery|coming of age,A biography film featuring Saoirse Ronan.,17.09
MV1002,The Dark Knight,1988,Crime|Horror|History,Guillermo del Toro,Cate Blanchett|Meryl Streep|Robert Downey Jr|Ryan Gosling|Tom Hardy,French,South Korea,195,5.9,1175905,138.8,937.7,supernatural|conspiracy|identity,A crime film featuring Cate Blanchett.,70.32
MV1003,Schindler's List,2014,Mystery|Drama|Crime,Alfonso Cuaron,Paul Rudd|Viola Davis|Christian Bale|Florence Pugh|Jessica Chastain,Japanese,Australia,113,8.1,244620,72.6,53.8,based on true story|danger|family|identity,A mystery film featuring Paul Rudd.,92.18
MV1004,Pulp Fiction,2006,Horror|Thriller|Mystery,Ryan Coogler,Chris Hemsworth|Florence Pugh|Morgan Freeman|Idris Elba,Spanish,South Korea,180,7.6,1112018,225.4,837.0,based on true story|supernatural|freedom|friendship|detective,A horror film featuring Chris Hemsworth.,54.42
MV1005,Forrest Gump,2018,History,Denis Villeneuve,Chris Evans|Christian Bale|Chadwick Boseman,German,UK,134,7.0,1973143,161.1,1253.9,mystery|danger|heist,A history film featuring Chris Evans.,20.04
MV1006,Inception,1997,Animation,Christopher Nolan,Paul Rudd|Idris Elba|Denzel Washington|Amy Adams|Natalie Portman,Japanese,Australia,162,6.3,1578308,229.9,1045.0,revenge|time travel|kingdom|love|mystery,A animation film featuring Paul Rudd.,93.62
MV1007,The Matrix,2023,Thriller|Action,Ron Howard,Robert De Niro|Paul Rudd|Daniel Craig|Cate Blanchett|Dustin Hoffman,Spanish,France,169,7.3,2316043,53.7,239.4,superhero|identity|loss|discovery|based on true story,A thriller film featuring Robert De Niro.,99.56
MV1008,Goodfellas,2011,Animation|Adventure,Hayao Miyazaki,Viola Davis|Ryan Gosling|Cate Blanchett,Italian,USA,160,7.6,2478096,70.0,72.3,war|freedom|family|survival|heist,A animation film featuring Viola Davis.,16.38
MV1009,Fight Club,1985,Mystery|Animation,Tim Burton,Scarlett Johansson|Paul Rudd|Gene Hackman|Zendaya|Viola Davis,Hindi,Germany,109,5.9,1817959,109.5,392.4,war|redemption|based on true story|heist|sacrifice,A mystery film featuring Scarlett Johansson.,27.24
MV1010,Interstellar,2004,Comedy|Sci-Fi,Bong Joon-ho,Florence Pugh|Viola Davis|Cate Blanchett|Timothée Chalamet,French,USA,168,9.3,71898,290.9,2166.6,corruption|dystopia|kingdom,A comedy film featuring Florence Pugh.,53.32
MV1011,The Silence of the Lambs,1995,Comedy,Ingmar Bergman,Jessica Chastain|Idris Elba|Florence Pugh,Japanese,Germany,174,9.1,2341061,200.3,831.3,escape|identity|war,A comedy film featuring Jessica Chastain.,62.13
MV1012,Saving Private Ryan,2004,Fantasy,Stanley Kubrick,Brad Pitt|Tom Cruise|Zendaya,Spanish,USA,150,5.8,789406,25.2,25.4,based on true story|mystery|sacrifice,A fantasy film featuring Brad Pitt.,62.1
MV1013,The Green Mile,1972,Drama|Sci-Fi|Mystery,Stanley Kubrick,Emma Stone|Robert Downey Jr|Brie Larson|Jennifer Lawrence,Korean,Japan,135,6.0,1268278,139.9,1044.7,revenge|alien|redemption,A drama film featuring Emma Stone.,16.59
MV1014,Se7en,1983,Romance|Comedy|Horror,James Cameron,Mark Ruffalo|Tom Hardy|Christian Bale,Hindi,Australia,175,6.6,2228538,7.3,48.4,redemption|friendship|ambition|mystery,A romance film featuring Mark Ruffalo.,90.07
MV1015,American Beauty,2017,Comedy|Romance|Biography,Tim Burton,Benedict Cumberbatch|Emma Stone|Chadwick Boseman|Chris Evans|Idris Elba,Hindi,Japan,200,9.0,223066,32.2,118.4,survival|revenge|heist|friendship,A comedy film featuring Benedict Cumberbatch.,67.34
MV1016,A Beautiful Mind,1986,Fantasy,Hayao Miyazaki,Brie Larson|Saoirse Ronan|Jack Nicholson|Leonardo DiCaprio|Matt Damon,French,France,154,5.6,1558604,176.8,284.8,survival|discovery|supernatural,A fantasy film featuring Brie Larson.,90.91
MV1017,Gladiator,2020,Horror,Tim Burton,Viola Davis|Robert Downey Jr|Natalie Portman|Charlize Theron|Jack Nicholson,German,France,115,8.8,752611,265.0,181.8,heist|dystopia|sacrifice|danger|corruption,A horror film featuring Viola Davis.,80.86
MV1018,Braveheart,1976,History|Action,Greta Gerwig,Jake Gyllenhaal|Florence Pugh|Charlize Theron,Japanese,South Korea,113,5.6,820045,122.5,317.2,danger|conspiracy|detective,A history film featuring Jake Gyllenhaal.,45.97
MV1019,The Departed,2023,Horror|Action|Drama,Ang Lee,Tom Cruise|Idris Elba|Meryl Streep,French,Germany,129,8.3,1325658,133.7,1053.8,coming of age|loss|ambition,A horror film featuring Tom Cruise.,13.99
