Order_ID,SKU,Product_Name,Category,Supplier,Warehouse,Region,Order_Date,Delivery_Date,Ship_Mode,Payment_Terms,Unit_Price,Quantity_Ordered,Quantity_Received,Quantity_On_Hand,Reorder_Level,Lead_Time_Days,Discount_Pct,Total_Order_Value,Net_Value,Stock_Status,Defective_Units,Return_Units,Days_To_Deliver
ORD-000001,SKU-08270,Product_Sigma_7,Industrial Parts,Supplier_G,Hyderabad WH,West,2022-01-01,2022-01-27,Rail,Net 60,4296.97,187,187,440,96,27,0,803533.39,803533.39,In Stock,7,12,26
ORD-000002,SKU-01860,Product_Alpha_5,Apparel,Supplier_A,Chennai WH,South,2022-01-01,2022-01-06,Road,Net 15,2505.29,271,271,77,188,22,10,678933.59,611040.23,Low Stock,1,1,5
ORD-000003,SKU-06390,Product_Beta_37,Apparel,Supplier_J,Mumbai WH,West,2022-01-01,2022-01-05,Air,Net 60,3377.72,114,114,111,65,10,0,385060.08,385060.08,In Stock,3,1,4
ORD-000004,SKU-06191,Product_Sigma_50,Apparel,Supplier_E,Mumbai WH,West,2022-01-02,2022-01-03,Sea,Net 30,1202.94,385,385,534,148,19,5,463131.9,439975.3,In Stock,1,11,1
ORD-000005,SKU-06734,Product_Kappa_2,Pharmaceuticals,Supplier_D,Chennai WH,West,2022-01-02,2022-01-04,Sea,Net 60,3792.62,11,11,374,111,24,0,41718.82,41718.82,In Stock,4,14,2
ORD-000006,SKU-07265,Product_Kappa_10,Furniture,Supplier_J,Hyderabad WH,North,2022-01-02,2022-01-29,Air,Net 30,3802.43,55,55,115,31,27,0,209133.65,209133.65,In Stock,9,9,27
ORD-000007,SKU-01466,Product_Alpha_3,Pharmaceuticals,Supplier_L,Hyderabad WH,North,2022-01-02,2022-01-27,Air,Immediate,1569.86,258,258,141,107,36,0,405023.88,405023.88,In Stock,9,10,25
ORD-000008,SKU-05426,Product_Zeta_18,Pharmaceuticals,Supplier_B,Mumbai WH,East,2022-01-02,2022-01-10,Sea,Net 30,2059.31,65,65,991,92,43,0,133855.15,133855.15,In Stock,7,1,8
ORD-000009,SKU-06578,Product_Gamma_45,Pharmaceuticals,Supplier_D,Delhi WH,South,2022-01-03,2022-01-08,Rail,Net 30,1056.35,479,479,196,182,17,10,505991.65,455392.49,Discontinued,6,3,5
ORD-000010,SKU-09322,Product_Omega_26,Apparel,Supplier_G,Chennai WH,Central,2022-01-03,2022-01-10,Air,Immediate,4883.04,172,172,789,121,10,10,839882.88,755894.59,Discontinued,4,8,7
ORD-000011,SKU-02685,Product_Alpha_33,Electronics,Supplier_I,Chennai WH,Central,2022-01-03,2022-01-30,Rail,Immediate,3231.56,272,272,539,118,17,0,878984.32,878984.32,In Stock,6,4,27
ORD-000012,SKU-01769,Product_Kappa_31,Industrial Parts,Supplier_K,Chennai WH,West,2022-01-03,2022-01-16,Road,Net 15,4673.37,150,294,298,180,44,0,701005.5,701005.5,In Stock,4,1,13
ORD-000013,SKU-07949,Product_Zeta_26,FMCG,Supplier_L,Delhi WH,West,2022-01-03,2022-01-15,Road,Net 60,1523.89,362,232,75,77,10,10,551648.18,496483.36,Low Stock,6,3,12
ORD-000014,SKU-03433,Product_Beta_35,Electronics,Supplier_B,Chennai WH,North,2022-01-03,2022-01-25,Sea,Immediate,3911.64,146,146,529,147,10,0,571099.44,571099.44,In Stock,3,6,22
ORD-000015,SKU-06311,Product_Delta_1,Apparel,Supplier_H,Hyderabad WH,West,2022-01-04,2022-01-25,Rail,Immediate,3831.63,431,431,99,136,38,0,1651432.53,1651432.53,Low Stock,3,4,21
ORD-000016,SKU-06051,Product_Zeta_45,Electronics,Supplier_C,Hyderabad WH,East,2022-01-04,2022-01-25,Sea,Net 15,3461.36,209,209,478,54,17,5,723424.24,687253.03,In Stock,9,10,21
ORD-000017,SKU-07420,Product_Kappa_8,Furniture,Supplier_A,Chennai WH,East,2022-01-04,2022-01-07,Sea,Net 60,4828.54,286,286,972,193,26,15,1380962.44,1173818.07,In Stock,3,7,3
ORD-000018,SKU-02184,Product_Omega_22,Apparel,Supplier_D,Mumbai WH,Central,2022-01-04,2022-01-23,Sea,Net 60,1973.84,10,10,467,103,26,15,19738.4,16777.64,In Stock,7,0,19
ORD-000019,SKU-05555,Product_Sigma_26,Electronics,Supplier_B,Mumbai WH,Central,2022-01-05,2022-01-24,Road,Net 30,662.28,227,227,635,85,34,10,150337.56,135303.8,In Stock,0,13,19
ORD-000020,SKU-04385,Product_Alpha_41,Pharmaceuticals,Supplier_D,Bangalore WH,North,2022-01-06,2022-01-15,Rail,Net 30,3361.83,186,186,876,191,4,0,625300.38,625300.38,In Stock,9,12,9
ORD-000021,SKU-07396,Product_Beta_24,Furniture,Supplier_G,Chennai WH,East,2022-01-06,2022-02-05,Sea,Net 15,3649.26,62,62,291,45,27,10,226254.12,203628.71,In Stock,4,13,30
ORD-000022,SKU-09666,Product_Omega_6,Pharmaceuticals,Supplier_J,Hyderabad WH,South,2022-01-06,2022-02-02,Air,Immediate,2879.55,85,387,124,61,21,0,244761.75,244761.75,In Stock,9,14,27
ORD-000023,SKU-03558,Product_Kappa_49,Electronics,Supplier_F,Hyderabad WH,North,2022-01-06,2022-01-09,Air,Net 15,1042.02,464,177,518,96,36,0,483497.28,483497.28,Reorder Pending,1,4,3
ORD-000024,SKU-08849,Product_Sigma_42,FMCG,Supplier_F,Hyderabad WH,East,2022-01-07,2022-01-08,Rail,Net 15,2527.24,134,134,22,49,38,5,338650.16,321717.65,Low Stock,9,3,1
ORD-000025,SKU-03047,Product_Delta_12,Electronics,Supplier_L,Kolkata WH,East,2022-01-07,2022-01-10,Air,Net 60,1567.83,323,323,161,135,31,10,506409.09,455768.18,Reorder Pending,3,2,3
ORD-000026,SKU-03747,Product_Alpha_25,Pharmaceuticals,Supplier_C,Mumbai WH,East,2022-01-07,2022-01-14,Air,Net 60,2143.06,297,297,628,179,7,0,636488.82,636488.82,In Stock,4,6,7
ORD-000027,SKU-01189,Product_Delta_20,FMCG,Supplier_I,Hyderabad WH,North,2022-01-07,2022-02-05,Air,Net 60,3229.64,171,171,505,55,44,0,552268.44,552268.44,In Stock,7,9,29
ORD-000028,SKU-03734,Product_Zeta_7,Industrial Parts,Supplier_G,Kolkata WH,North,2022-01-07,2022-01-28,Air,Immediate,3728.62,213,213,881,38,34,10,794196.06,714776.45,In Stock,1,10,21
ORD-000029,SKU-04005,Product_Omega_32,Apparel,Supplier_C,Hyderabad WH,South,2022-01-07,2022-01-22,Air,Net 30,1168.8,461,461,863,41,18,15,538816.8,457994.28,In Stock,1,0,15
ORD-000030,SKU-05658,Product_Beta_41,FMCG,Supplier_L,Kolkata WH,North,2022-01-07,2022-02-02,Sea,Net 60,2032.57,18,18,20,84,24,10,36586.26,32927.63,Low Stock,1,5,26
ORD-000031,SKU-02899,Product_Kappa_48,Apparel,Supplier_A,Hyderabad WH,South,2022-01-07,2022-01-12,Air,Immediate,1353.12,314,314,763,76,13,5,424879.68,403635.7,In Stock,7,7,5
ORD-000032,SKU-08734,Product_Delta_9,Industrial Parts,Supplier_J,Mumbai WH,West,2022-01-08,2022-01-11,Air,Net 60,1001.17,60,60,837,30,13,15,60070.2,51059.67,In Stock,2,1,3
ORD-000033,SKU-02267,Product_Alpha_13,FMCG,Supplier_K,Mumbai WH,Central,2022-01-08,2022-02-06,Sea,Net 60,3919.1,88,88,463,45,25,10,344880.8,310392.72,In Stock,4,5,29
ORD-000034,SKU-02528,Product_Alpha_47,Apparel,Supplier_C,Bangalore WH,South,2022-01-08,2022-02-05,Rail,Net 15,4547.17,27,27,482,195,5,5,122773.59,116634.91,In Stock,1,10,28
ORD-000035,SKU-04556,Product_Delta_32,Apparel,Supplier_J,Hyderabad WH,Central,2022-01-09,2022-02-05,Air,Net 60,1857.46,68,68,501,38,39,0,126307.28,126307.28,In Stock,5,0,27
