Visit_ID,Pet_ID,Pet_Name,Species,Breed,Gender,Age_Years,Neutered,Owner_Name,Owner_City,Clinic,Vet_Name,Visit_Date,Visit_Type,Diagnosis,Medication_Prescribed,Consultation_Fee,Medicine_Cost,Total_Bill,Discount_Pct,Net_Bill,Payment_Method,Insurance_Claimed,Follow_Up_Required,Follow_Up_Date,Visit_Duration_Mins,Satisfaction_Score
VIS-000001,PET-00494,Ruby,Cat,British Shorthair,Male,0.3,Yes,Owner_9707,Mumbai,HealPet Bangalore,Dr. Kabir Joshi,2022-01-01,Lab Test,Fracture,Yes,1494.97,323.69,1818.66,5,1727.73,Credit Card,Yes,Yes,2022-01-14,55,4
VIS-000002,PET-00895,Tiger,Dog,German Shepherd,Male,6.1,No,Owner_7329,Chennai,AnimalCare Chennai,Dr. Kabir Joshi,2022-01-01,Routine Checkup,Parasites,No,797.07,1456.17,2253.24,0,2253.24,UPI,No,No,,116,4
VIS-000003,PET-00401,Kitty,Dog,Labrador,Female,2.3,Yes,Owner_1880,Mumbai,PawCare Clinic Delhi,Dr. Rahul Mehta,2022-01-01,Lab Test,Ear Infection,Yes,2156.7,955.19,3111.89,0,3111.89,Cash,Yes,No,,43,4
VIS-000004,PET-02602,Charlie,Cat,Bengal,Male,5.1,Yes,Owner_1743,Chennai,HealPet Bangalore,Dr. Arjun Patel,2022-01-01,Dental Cleaning,Dental Disease,Yes,1135.9,680.53,1816.43,0,1816.43,Insurance,No,No,,114,4
VIS-000005,PET-01803,Milo,Dog,Golden Retriever,Male,15.3,No,Owner_7026,Pune,PawCare Clinic Delhi,Dr. Sneha Rao,2022-01-02,Grooming,Healthy,No,498.52,1230.39,1728.91,5,1642.46,Insurance,No,No,,33,5
VIS-000006,PET-02681,Simba,Dog,German Shepherd,Male,3.1,No,Owner_8635,Jaipur,PawCare Clinic Delhi,Dr. Arjun Patel,2022-01-02,Routine Checkup,Allergy,Yes,338.17,574.06,912.23,5,866.62,Debit Card,No,Yes,2022-01-09,39,5
VIS-000007,PET-02783,Max,Cat,Persian,Male,2.8,Yes,Owner_1363,Pune,AnimalCare Chennai,Dr. Rahul Mehta,2022-01-02,Lab Test,Arthritis,Yes,1967.89,656.33,2624.22,10,2361.8,Debit Card,Yes,No,,46,4
VIS-000008,PET-00199,Bruno,Dog,Poodle,Male,0.3,Yes,Owner_9945,Hyderabad,PawCare Clinic Delhi,Dr. Arjun Patel,2022-01-02,Vaccination,Parasites,Yes,821.89,122.64,944.53,5,897.3,Debit Card,No,No,,81,4
VIS-000009,PET-01377,Daisy,Turtle,Painted Turtle,Female,1.3,No,Owner_1118,Bangalore,PetMed Hyderabad,Dr. Rahul Mehta,2022-01-02,Lab Test,Healthy,Yes,1226.66,686.44,1913.1,0,1913.1,Insurance,No,No,,65,4
VIS-000010,PET-02596,Buddy,Turtle,Red-Eared Slider,Male,2.8,No,Owner_5225,Bangalore,PawCare Clinic Delhi,Dr. Kabir Joshi,2022-01-02,Dental Cleaning,Ear Infection,Yes,2342.85,1174.75,3517.6,15,2989.96,UPI,No,No,,115,4
VIS-000011,PET-01231,Simba,Dog,Bulldog,Female,4.5,No,Owner_2213,Delhi,AnimalCare Chennai,Dr. Ananya Singh,2022-01-02,Follow-up,Healthy,No,231.27,1808.49,2039.76,0,2039.76,Insurance,Yes,No,,113,4
VIS-000012,PET-02045,Kitty,Cat,Bengal,Female,6.5,No,Owner_5145,Kolkata,PawCare Clinic Delhi,Dr. Priya Sharma,2022-01-02,Lab Test,Healthy,Yes,2781.36,1075.75,3857.11,0,3857.11,Credit Card,No,No,,74,4
VIS-000013,PET-01263,Bruno,Dog,Beagle,Male,1.9,Yes,Owner_8302,Bangalore,AnimalCare Chennai,Dr. Priya Sharma,2022-01-02,Routine Checkup,Parasites,No,719.11,346.56,1065.67,10,959.1,Credit Card,No,No,,102,5
VIS-000014,PET-01241,Ruby,Dog,Golden Retriever,Male,0.3,Yes,Owner_5205,Delhi,VetPlus Mumbai,Dr. Sneha Rao,2022-01-03,Surgery,Ear Infection,Yes,9703.85,1308.28,11012.13,5,10461.52,Cash,Yes,Yes,2022-01-30,34,4
VIS-000015,PET-01127,Rocky,Rabbit,Flemish Giant,Male,1.4,Yes,Owner_4627,Mumbai,PetMed Hyderabad,Dr. Sneha Rao,2022-01-03,Emergency,Healthy,Yes,6444.38,1474.57,7918.95,15,6731.11,UPI,No,No,,116,4
