TransactionID,CustomerID,TransactionDate,TransactionTime,TransactionType,MerchantCategory,Amount(INR),CardType,IsInternational,CustomerAge,AccountAgeDays,PreviousTransactions,DailyTransactionCount,TransactionHour,DistanceFromHome(km),Bank,DeviceUsed,FailedAttemptsLast24h,IsNewDevice,TimeSinceLastTransaction(min),IsFraud
TXN100000,CUST3702,2024-12-14,20:18:30,ATM Withdrawal,Entertainment,7613.23,Discover,0,68,43,8,12,20,466.4,ICICI,Tablet,0,0,476,0
TXN100001,CUST6389,2024-12-04,20:23:01,ATM Withdrawal,Groceries,7090.88,Visa,0,64,1434,206,16,20,75.5,HDFC,POS Machine,1,0,482,0
TXN100002,CUST2162,2021-09-16,17:52:24,ATM Withdrawal,Clothing,28286.96,Mastercard,0,46,2083,198,11,17,497.4,HSBC,POS Machine,,0,192,0
TXN100003,CUST6220,2021-03-22,05:40:22,POS Terminal,Clothing,1793.48,Discover,0,22,3362,90,14,5,187.4,Kotak,Web Browser,1,0,1348,0
TXN100004,CUST7153,2022-04-06,17:04:28,Bank Transfer,Entertainment,19820.36,Visa,1,60,1217,18,14,17,124.3,Kotak,Mobile App,0,1,1322,0
TXN100005,CUST1463,2022-06-26,04:56:23,Mobile Payment,Pharmacy,1039.75,Amex,0,52,2440,142,5,4,384.1,Yes Bank,POS Machine,0,0,49,0
TXN100006,CUST3269,2022-03-04,12:06:11,Online Purchase,Entertainment,30101.88,Mastercard,0,26,1275,276,11,12,198.1,SBI,Mobile App,2,0,372,1
TXN100007,CUST1928,2021-07-15,02:25:48,Mobile Payment,Fuel,31375.19,Mastercard,0,20,1032,200,5,2,154.7,Kotak,Tablet,3,0,1031,0
TXN100008,CUST5777,2022-02-20,10:12:22,Online Purchase,Clothing,22235.38,Amex,0,58,3365,414,15,10,252.5,SBI,Mobile App,3,0,,1
TXN100009,CUST5515,2024-12-14,14:51:15,Bank Transfer,Pharmacy,42126.24,RuPay,0,59,379,20,16,14,86.4,Citibank,Web Browser,0,0,443,0
TXN100010,CUST5019,2024-08-13,09:39:24,Mobile Payment,Electronics,56004.67,Mastercard,0,43,2964,75,3,9,276.6,PNB,Web Browser,0,0,769,0
TXN100011,CUST4093,2023-02-01,10:32:16,ATM Withdrawal,Jewellery,3543.7,Mastercard,0,63,1582,81,13,10,233.5,Axis,Tablet,0,0,575,0
TXN100012,CUST7024,2021-02-17,18:02:25,Mobile Payment,Entertainment,18588.69,Amex,1,27,417,499,10,18,95.2,Axis,Mobile App,0,0,341,0
TXN100013,CUST5002,2022-10-26,18:59:29,Online Purchase,Luxury,4732.75,Visa,1,65,3139,337,7,18,76.1,SBI,POS Machine,0,0,1097,0
TXN100014,CUST1151,2021-11-03,05:32:06,Contactless Payment,Restaurant,9845.91,RuPay,0,20,2427,254,9,5,340.4,Kotak,ATM,1,0,214,0
TXN100015,CUST6318,2022-04-17,01:46:22,Mobile Payment,Jewellery,13090.41,Mastercard,0,28,3569,436,15,1,403.4,HDFC,ATM,3,0,446,1
TXN100016,CUST8603,2023-01-12,05:39:16,Mobile Payment,Electronics,8749.97,Amex,1,52,2080,452,14,5,103.4,ICICI,Web Browser,5,0,922,0
